Team_ID,Rk,Stage,Squad,MP,W,D,L,GF,GA,GD,Pts,Year
2,1,W,de Bayern Munich,11.0,11.0,0.0,0.0,43.0,8.0,35.0,33.0,2020
44,2,F,fr Paris S-G,11.0,8.0,1.0,2.0,25.0,6.0,19.0,25.0,2020
111,3,SF,de RB Leipzig,10.0,6.0,2.0,2.0,16.0,12.0,4.0,20.0,2020
1,4,SF,fr Lyon,10.0,4.0,2.0,4.0,14.0,14.0,0.0,14.0,2020
88,5,QF,eng Manchester City,9.0,6.0,2.0,1.0,21.0,9.0,12.0,20.0,2020
39,6,QF,es Barcelona,9.0,5.0,3.0,1.0,15.0,14.0,1.0,18.0,2020
66,7,QF,es Atlético Madrid,9.0,5.0,1.0,3.0,13.0,9.0,4.0,16.0,2020
115,8,QF,it Atalanta,9.0,4.0,1.0,4.0,17.0,18.0,-1.0,13.0,2020
13,9,R16,it Juventus,8.0,6.0,1.0,1.0,14.0,6.0,8.0,19.0,2020
87,10,R16,it Napoli,8.0,3.0,4.0,1.0,13.0,8.0,5.0,13.0,2020
33,11,R16,eng Liverpool,8.0,4.0,1.0,3.0,15.0,12.0,3.0,13.0,2020
93,12,R16,de Dortmund,8.0,4.0,1.0,3.0,10.0,11.0,-1.0,13.0,2020
21,13,R16,es Real Madrid,8.0,3.0,2.0,3.0,16.0,12.0,4.0,11.0,2020
42,14,R16,es Valencia,8.0,3.0,2.0,3.0,13.0,15.0,-2.0,11.0,2020
25,15,R16,eng Chelsea,8.0,3.0,2.0,3.0,12.0,16.0,-4.0,11.0,2020
80,16,R16,eng Tottenham,8.0,3.0,1.0,4.0,18.0,18.0,0.0,10.0,2020
32,17,GR,nl Ajax,6.0,3.0,1.0,2.0,12.0,6.0,6.0,10.0,2020
116,18,GR,at RB Salzburg,6.0,2.0,1.0,3.0,16.0,13.0,3.0,7.0,2020
7,19,GR,it Inter,6.0,2.0,1.0,3.0,10.0,9.0,1.0,7.0,2020
49,20,GR,pt Benfica,6.0,2.0,1.0,3.0,10.0,11.0,-1.0,7.0,2020
69,21,GR,ru Zenit,6.0,2.0,1.0,3.0,7.0,9.0,-2.0,7.0,2020
34,22,GR,de Leverkusen,6.0,2.0,0.0,4.0,5.0,9.0,-4.0,6.0,2020
40,23,GR,ua Shakhtar,6.0,1.0,3.0,2.0,8.0,13.0,-5.0,6.0,2020
91,24,GR,hr Dinamo Zagreb,6.0,1.0,2.0,3.0,10.0,13.0,-3.0,5.0,2020
16,25,GR,gr Olympiacos,6.0,1.0,1.0,4.0,8.0,14.0,-6.0,4.0,2020
6,26,GR,ru Loko Moscow,6.0,1.0,0.0,5.0,4.0,11.0,-7.0,3.0,2020
31,27,GR,be Club Brugge,6.0,0.0,3.0,3.0,4.0,12.0,-8.0,3.0,2020
112,28,GR,rs Red Star,6.0,1.0,0.0,5.0,3.0,20.0,-17.0,3.0,2020
62,29,GR,cz Slavia Prague,6.0,0.0,2.0,4.0,4.0,10.0,-6.0,2.0,2020
15,30,GR,tr Galatasaray,6.0,0.0,2.0,4.0,1.0,14.0,-13.0,2.0,2020
50,31,GR,fr Lille,6.0,0.0,1.0,5.0,4.0,14.0,-10.0,1.0,2020
92,32,GR,be Genk,6.0,0.0,1.0,5.0,5.0,20.0,-15.0,1.0,2020
